,ftm_xchng_cd,ftm_brkr_cd,ftm_msg_id,ftm_msg,ftm_tm
0,NFO,07730,T,Forwarding started for Pipe ID 11,2024-09-02 16:57:21
1,NFO,07730,T,Forwarding started for Pipe ID 11,2024-09-02 17:05:28
2,NFO,07730,T,Forwarding started for Pipe ID 11,2024-08-22 12:45:38
3,BFO,9999 ,9,8509001309|BFO|O|BANKEX|03-Jun-2024|E|15,2024-08-12 12:12:48
4,BFO,9999 ,9,8509018725|BFO|O|BANKEX|03-Jun-2024|E|15,2024-08-12 12:12:48
5,BFO,9999 ,9,8509001309|BFO|O|BSESEN|21-Jun-2024|E|-10,2024-08-12 12:12:48
6,NFO,07730,T,Forwarding started for Pipe ID 11,2024-09-02 15:25:34
7,NFO,07730,T,Forwarding started for Pipe ID 11,2024-08-23 15:07:34
8,NFO,07730,T,Forwarding started for Pipe ID 11,2024-08-23 10:32:43
9,NFO,07730,T,Forwarding started for Pipe ID 11,2024-09-02 13:47:27
